Canonical_SMILES,AMES,BBB,Bioavailability,Caco2,Clearance_H.,Clearance_M.,CYP2C9_Sub.,CYP2C9_In.,CYP2D6_Sub.,CYP2D6_In.,CYP3A4_Sub.,CYP3A4_In.,DILI,Half_Life,hERG,HIA_Hou,LD50_Zhu,Lipophilicity,Pgp,PPBR,Solubility,VDss
[Mg+2].[Mg+2].[Mg+2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[OH-].[Si+4].[Si+4].[Si+4].[Si+4],0.197069176,0.858707272,0.805413221,-5.172674335,20.92698802,17.79346051,0.203537902,0.114161093,0.174712302,0.07954685,0.42887586,0.098077391,0.348026707,18.09685319,0.205805313,0.856996734,2.380801688,1.678884807,0.084465902,73.30203485,-3.478228081,3.185041727
O=C(OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,0.148827831,0.296506382,0.443961592,-6.551521426,69.68971129,75.89534602,0.223766103,0.251470871,0.151127659,0.177073219,0.474696112,0.241044363,0.819400373,109.6402998,0.354633999,0.357528081,2.691698845,2.818160349,0.746429156,82.04881133,-5.348872957,6.24687225
CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,0.181591661,0.926638673,0.857642153,-4.868418128,21.41898201,38.90151953,0.237486728,0.604295855,0.197368541,0.109272614,0.53971574,0.311442455,0.176161925,24.92253672,0.629965147,0.969684089,2.239165819,3.210329357,0.579917818,97.19726929,-3.662401579,2.642131728
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,0.609868843,0.930360809,0.83749394,-4.618429345,22.68799141,30.60809255,0.203645127,0.288060248,0.226738018,0.278895473,0.660640204,0.360725766,0.230070917,10.83153992,0.658817323,0.967087654,2.355784366,2.945779812,0.267934125,95.54749484,-2.526250033,2.157956141
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,0.150290355,0.728246393,0.73989159,-5.292055418,35.53468202,23.9413476,0.200058435,0.114708378,0.222457459,0.084735533,0.659386693,0.196747607,0.262533497,9.827034205,0.718310902,0.969428352,2.540808236,2.096578918,0.600820158,90.93436987,-3.036743005,2.274659008
O=S1(=O)CCN(CN2CCS(=O)(=O)NC2)CN1,0.47171476,0.88476971,0.850123798,-5.082301795,19.46126649,12.17426626,0.234296896,0.074833661,0.212728904,0.097087779,0.498013305,0.112705709,0.64111833,10.43660182,0.716236861,0.963296736,2.260417458,1.248203539,0.087807743,81.84196776,-0.538697916,1.842583625
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.156420042,0.752863708,0.778919786,-5.129834673,32.43489152,23.27396162,0.204498914,0.1337631,0.1950503,0.090832578,0.652170782,0.21491617,0.251123897,8.879893691,0.718310902,0.969431082,2.506560525,2.270844062,0.851311244,93.85870946,-3.241119236,2.919351301
OB1OCc2cc(F)ccc21,0.570494485,0.916927135,0.848950945,-4.605417934,19.35526394,30.98056444,0.225197596,0.125764316,0.210413385,0.091733818,0.499232375,0.107941942,0.332322269,9.369973695,0.282824519,0.965478606,3.289567015,2.487023946,0.114424581,95.43904301,-0.968418375,1.777584466
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,0.47501289,0.894413358,0.818274548,-5.163607972,27.20471105,46.75045173,0.192865928,0.662026304,0.170554675,0.172513217,0.50268015,0.742489131,0.546426435,16.50461486,0.806978717,0.963912175,2.852349304,3.075235566,0.931941299,97.67926775,-3.951907205,3.409759769
CC(C)c1cccc(C(C)C)c1NC(=O)CN(CC(=O)O)CC(=O)O.[99Tc],0.168278741,0.792852984,0.850924361,-5.192453815,22.32001594,31.16068844,0.204107597,0.201703361,0.192104238,0.135070629,0.53410828,0.112514725,0.360920787,14.67577488,0.288752502,0.965647327,2.278704153,1.511863121,0.202067435,86.91401911,-2.387077276,0.864384846
