Canonical_SMILES,QED,ADMET_risk_favorability,expected_favorability,residual
NCC(=O)[O-].O.O.[Al+3].[Cl-].[Zr+4],0.472,80.668,49.69,30.978
CCN(CCCc1ccccc1)CCCc1ccccc1,0.65,48.453,48.98,-0.527
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,0.677,51.608,48.872,2.736
Nc1ccncc1N,0.501,45.833,49.572,-3.739
[13NH3],0.397,88.603,49.987,38.616
O=C([O-])[O-].[NH4+].[NH4+],0.372,94.516,50.088,44.428
CC(O)C(=O)[O-].[NH4+],0.426,94.715,49.871,44.844
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,0.756,52.083,48.559,3.525
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,0.174,60.072,50.875,9.197
CCC(C)(CN(C)C)OC(=O)c1ccccc1,0.735,61.137,48.645,12.492
COc1ccc(-c2cc(=S)ss2)cc1,0.574,38.465,49.283,-10.818
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,0.772,44.623,48.497,-3.874
CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-],0.509,61.688,49.542,12.146
O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,0.186,14.522,50.827,-36.305
CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,0.538,24.203,49.428,-25.224
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,0.601,20.971,49.176,-28.205
Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,0.381,41.023,50.051,-9.028
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,0.457,70.45,49.747,20.704
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,0.111,20.941,51.124,-30.183
NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1,0.906,50.061,47.965,2.096
O=[As]O[As]=O,0.53,73.483,49.457,24.026
CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,0.733,52.175,48.653,3.522
C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,0.691,60.141,48.818,11.323
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,0.786,31.602,48.442,-16.84
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,0.299,24.142,50.376,-26.234
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,0.498,19.056,49.586,-30.53
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,0.385,77.574,50.035,27.539
NC(=O)C[C@H](N)C(=O)O,0.424,89.369,49.88,39.489
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.286,22.089,50.429,-28.34
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,0.799,45.956,48.391,-2.435
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,0.154,22.932,50.952,-28.02
C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,0.348,25.613,50.184,-24.571
CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@@H](C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,0.065,49.173,51.306,-2.133
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC.O=S(=O)([O-])c1ccccc1.O=S(=O)([O-])c1ccccc1,0.021,31.847,51.48,-19.633
O.O.O.O.[Al+3].[Mg+2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-].[Si+4].[Si+4].[Si+4].[Si+4],0.343,74.939,50.201,24.738
OC[C@H]1O[C@H]([S][Au])[C@H](O)[C@@H](O)[C@@H]1O,0.406,81.281,49.95,31.33
Cc1ccc(NC(=O)[C@H]2CCCN(C(=O)c3c(C)cccc3F)[C@H]2c2ccc(NC3CCCC3)cc2)cc1C(F)(F)F,0.29,22.779,50.413,-27.634
COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,0.42,17.555,49.894,-32.339
Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,0.394,17.004,49.998,-32.994
O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,0.296,22.718,50.388,-27.67
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,0.595,63.971,49.198,14.773
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,0.242,22.273,50.601,-28.328
CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0.347,49.862,50.187,-0.325
CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,0.04,47.044,51.406,-4.362
COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,0.345,18.704,50.195,-31.49
