Endpoint,Model,MAE,RMSE,R2,Spearman
Caco2_Wang,R,0.302 ± 0.002,0.160 ± 0.001,0.748 ± 0.002,0.834 ± 0.002
Lipophilicity_AstraZeneca,M_A_E_R_EM64,0.440 ± 0.001,0.365 ± 0.003,0.753 ± 0.002,0.849 ± 0.002
Solubility_AqSolDB,M_A_E_S_R_MC_TI_EM64,0.609 ± 0.001,0.809 ± 0.001,0.851 ± 0.000,0.915 ± 0.000
PPBR_AZ,M_A_E_R_MC_EM64,6.966 ± 0.011,132.462 ± 0.527,0.453 ± 0.002,0.705 ± 0.001
LD50_Zhu,M_A_E_R_MC_TI,0.388 ± 0.000,0.282 ± 0.001,0.684 ± 0.001,0.785 ± 0.001
