Endpoint,Model,AUROC,AUPRC,Accuracy,Precision,Recall
HIA_Hou,M_A_E_R_EM32,0.996 ± 0.001,0.999 ± 0.000,0.948 ± 0.000,0.942 ± 0.000,1.000 ± 0.000
Pgp_Broccatelli,M_A_E_R_MC,0.942 ± 0.001,0.957 ± 0.001,0.893 ± 0.003,0.882 ± 0.005,0.911 ± 0.000
Bioavailability_Ma,M_A_E_S_R_MC_TI_EM32,0.752 ± 0.011,0.875 ± 0.010,0.738 ± 0.009,0.732 ± 0.007,0.989 ± 0.000
BBB_Martins,M_A_E_R_MC_TI,0.912 ± 0.003,0.961 ± 0.003,0.868 ± 0.002,0.876 ± 0.003,0.960 ± 0.003
CYP3A4_Substrate_CarbonMangels,M_A_E_S_MC_EM32,0.667 ± 0.006,0.617 ± 0.010,0.646 ± 0.011,0.619 ± 0.009,0.761 ± 0.015
hERG,MC,0.854 ± 0.002,0.938 ± 0.002,0.858 ± 0.004,0.868 ± 0.003,0.955 ± 0.009
AMES,M_A_E_R,0.936 ± 0.001,0.945 ± 0.001,0.871 ± 0.005,0.876 ± 0.004,0.890 ± 0.006
DILI,M_A_E_S_R_TI_EM32,0.934 ± 0.002,0.948 ± 0.002,0.853 ± 0.007,0.843 ± 0.008,0.871 ± 0.009
